id_expo,expo_order,nombre_expo,fecha_ini,fecha_fin,duracion_dias,nombre_espacio,descripcion_expo,tipo_participacion,nombre_expo_order_ano,ano,a1,a2,rol_a1,rol_a2
128,129,Arte Virreinal Americano,1968-11-01,1900-01-01,NA,Sala única,NA,colectiva,129-Arte Virreinal Americano-1968,1968,NA,NA,NA,NA
129,130,Exposición de artesanía,1968-12-03,1968-12-13,10,Sala única,NA,colectiva,130-Exposición de artesanía-1968,1968,NA,NA,NA,NA
130,131,Pintura y Grabado Hoy en Venezuela,1968-12-25,1969-01-03,9,Sala única,NA,colectiva,131-Pintura y Grabado Hoy en Venezuela-1968,1968,NA,NA,NA,NA
131,132,María Teresa Vieco,1969-01-31,1900-01-01,NA,Sala única,NA,individual,132-María Teresa Vieco-1969,1969,NA,NA,NA,NA
132,133,Édgar Negret,1969-02-21,1900-01-01,NA,Sala única,NA,individual,133-Édgar Negret-1969,1969,NA,NA,NA,NA
133,134,Lucy Tejada,1969-03-07,1900-01-01,NA,Sala única,NA,individual,134-Lucy Tejada-1969,1969,NA,NA,NA,NA
134,135,Exposición de Álvaro Barrios,1969-03-28,1900-01-01,NA,Sala única,NA,individual,135-Exposición de Álvaro Barrios-1969,1969,NA,NA,NA,NA
135,136,Gianfranco Galante,1969-04-20,1900-01-01,NA,Sala única,NA,individual,136-Gianfranco Galante-1969,1969,NA,NA,NA,NA
136,137,Rogelio Polesello y Lya Kaufman,1969-05-09,1900-01-01,NA,Sala única,NA,colectiva,137-Rogelio Polesello y Lya Kaufman-1969,1969,NA,NA,NA,NA
137,138,Enrique Grau,1969-05-30,1900-01-01,NA,Sala única,NA,individual,138-Enrique Grau-1969,1969,NA,NA,NA,NA
138,139,XX Salón de Artistas Nacionales,1969-06-21,1969-07-07,16,Sala única,NA,colectiva,139-XX Salón de Artistas Nacionales-1969,1969,NA,NA,NA,NA
